species,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Inference,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
luscinia megarhynchos,16.0,8.8,3.5,3.7,26.4,84.0,23.2,61.0,27.6,68.2,19.6,0,0,6,1,3.0,0,3,1
muscicapa striata,16.2,9.3,4.3,3.6,14.4,86.3,26.1,60.3,30.2,61.2,15.9,0,0,0,1,3.0,0,3,2
oenanthe oenanthe,17.9,9.9,3.7,3.7,27.3,95.1,30.5,64.6,32.1,56.7,25.39,0,0,1,3,3.0,0,3,2
phoenicurus ochruros,15.4,8.1,2.8,2.9,22.4,83.1,19.2,64.1,23.1,60.4,16.5,0,0,3,3,2.0,2,3,2
phoenicurus phoenicurus,13.9,7.8,3.3,3.4,21.6,77.9,20.2,58.1,25.8,58.0,14.59,0,0,6,1,3.0,0,3,2
saxicola rubetra,14.7,8.0,3.6,3.8,22.3,76.5,20.4,55.9,26.7,47.3,16.6,0,0,4,2,3.0,0,3,2
saxicola torquatus,15.3,7.9,3.5,3.4,21.9,67.3,14.0,53.3,20.8,48.3,14.09,0,0,4,3,2.0,0,3,2
oriolus oriolus,28.5,18.2,8.9,8.5,22.5,151.6,58.8,93.8,38.5,82.9,79.0,0,0,6,1,3.0,2,4,2
cyanistes caeruleus,9.7,5.8,3.2,4.2,15.2,65.6,13.8,51.8,21.0,51.4,11.1,1,0,0,1,1.0,2,3,2
lophophanes cristatus,11.3,7.0,2.6,3.1,17.1,64.0,12.7,51.3,19.8,51.4,11.04,0,0,6,1,1.0,2,3,2
parus major,11.3,8.0,4.0,4.3,17.4,70.9,13.3,57.7,18.7,61.2,16.25,0,0,6,2,1.0,2,3,2
periparus ater,10.7,6.3,3.0,3.6,15.1,61.1,13.4,47.9,21.9,46.4,9.2,0,0,0,1,1.0,2,3,2
poecile montanus,11.0,7.1,3.4,4.0,16.2,65.5,11.6,53.9,17.7,59.3,11.1,0,0,0,1,1.0,2,3,2
poecile palustris,9.4,6.7,3.3,4.1,15.9,64.0,11.4,52.5,17.9,54.8,11.14,0,0,0,1,1.0,2,3,2
passer domesticus,13.5,9.1,6.3,7.4,17.9,74.9,20.4,54.4,27.3,57.2,26.51,0,0,2,3,1.0,1,1,3
