species,LengthU_MEAN,WingU_MEAN,WingM_MEAN,WingF_MEAN,TailU_MEAN,TailM_MEAN,TailF_MEAN,BillU_MEAN,BillM_MEAN,BillF_MEAN,TarsusU_MEAN,TarsusM_MEAN,TarsusF_MEAN,WeightU_MEAN,WeightM_MEAN,WeightF_MEAN,Sexual dimorphism,Clutch_MIN,Clutch_MAX,Clutch_MEAN,Broods per year,EggL_MEAN,EggW_MEAN,Egg_MASS,Young,Association during nesting,Nest type,Nest building,Mating system,Incubation period,Incubation sex,Hatching,Fledging period,Age of independence,Feeding independence,Age of first breeding,Life span,Association outside the breeding season,Territoriality,Sedentary,Facultative migrant,Short distance migrant,Long distance migrant,Deciduous forest,Coniferous forest,Woodland,Shrub,Savanna,Tundra,Grassland,Mountain meadows,Reed,Swamps,Desert,Freshwater,Marine,Rocks,Human settlements,Folivore_Y,Frugivore_Y,Granivore_Y,Arthropods_Y,Other invertebrates_Y,Fish_Y,Other vertebrates_Y,Carrion_Y,Omnivore_Y,Folivore_B,Frugivore_B,Granivore_B,Arthropods_B,Other invertebrates_B,Fish_B,Other vertebrates_B,Carrion_B,Omnivore_B
aegithalos caudatus,14.0,60.0,60.6,59.4,79.75,80.4,79.1,7.475,7.55,7.4,16.6,16.7,16.5,8.5,8.5,8.5,0.0,6.0,15.0,10.0,1.0,14.0,10.9,0.9,0,6,1,1,0,16.0,2,3,16.0,0.0,30.0,1.0,11.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
alauda arvensis,18.5,109.75,114.5,105.0,63.85,66.2,61.5,15.2,15.6,14.8,24.45,24.9,24.0,38.5,42.0,35.0,0.0,3.0,7.0,4.0,3.0,23.4,16.8,3.35,0,3,2,2,0,11.0,2,3,19.0,30.0,30.0,1.0,10.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
lullula arborea,15.0,94.35,96.4,92.3,49.2,51.0,47.4,14.6,14.6,14.6,21.6,21.7,21.5,26.5,26.0,27.0,0.0,2.0,6.0,4.0,2.0,21.2,15.9,3.4,0,3,3,2,0,14.0,2,3,12.0,0.0,0.0,1.0,5.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
certhia brachydactyla,12.5,62.4,63.3,61.5,59.55,59.0,60.1,17.65,18.5,16.8,15.5,15.7,15.3,9.05,9.3,8.8,0.0,4.0,7.0,6.5,2.0,16.0,12.3,1.15,0,3,4,1,0,14.0,2,3,17.0,29.0,29.0,1.0,6.0,4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
certhia familiaris,12.5,63.45,64.7,62.2,59.85,60.7,59.0,16.55,17.3,15.8,15.3,15.3,15.3,9.1,9.1,9.1,0.0,3.0,9.0,5.5,1.5,15.9,12.05,1.14,0,3,4,1,0,15.0,2,3,15.0,29.0,29.0,1.0,8.0,4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
corvus corax,64.0,421.4,430.4,412.4,228.55,230.0,227.1,76.3,78.1,74.5,69.65,70.7,68.6,1217.5,1319.0,1116.0,0.0,2.0,7.0,5.0,1.0,49.7,33.9,29.6,0,3,5,1,0,21.0,2,1,45.0,69.0,69.0,3.0,23.0,7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
corvus corone,46.0,323.9,330.4,317.4,184.15,188.4,179.9,55.6,58.05,53.15,59.725,62.0,57.45,526.85,556.0,497.7,0.0,2.0,7.0,4.5,1.0,42.5,29.5,19.1,0,5,5,1,0,19.0,2,1,32.0,64.0,62.0,2.0,19.0,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
corvus monedula,33.5,234.95,239.2,230.7,127.2,130.1,124.3,35.4,36.3,34.5,45.2,46.2,44.2,236.0,242.7,229.3,0.0,2.0,8.0,5.0,1.0,35.0,25.0,11.3,0,1,4,1,0,18.0,2,2,33.0,68.0,64.5,2.0,20.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
garrulus glandarius,34.5,182.1,184.4,179.8,145.35,148.0,142.7,33.4,33.8,33.0,43.1,43.5,42.7,164.4,167.4,161.4,0.0,3.0,10.0,6.0,1.0,31.8,23.2,8.74,0,3,5,1,0,17.0,2,1,26.0,53.0,51.0,2.0,17.0,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
pica pica,45.0,194.65,200.4,188.9,248.95,257.4,240.5,39.1,40.4,37.8,50.45,51.7,49.2,228.0,236.0,220.0,0.0,3.0,10.0,6.0,1.0,33.7,24.1,10.1,0,3,1,1,4,22.0,2,1,27.0,75.0,75.0,2.0,22.0,5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
