species,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Inference,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,LengthU_MEAN,WingU_MEAN,WingM_MEAN,WingF_MEAN,TailU_MEAN,TailM_MEAN,TailF_MEAN,BillU_MEAN,BillM_MEAN,BillF_MEAN,TarsusU_MEAN,TarsusM_MEAN,TarsusF_MEAN,WeightU_MEAN,WeightM_MEAN,WeightF_MEAN,Sexual dimorphism,Clutch_MIN,Clutch_MAX,Clutch_MEAN,Broods per year,EggL_MEAN,EggW_MEAN,Egg_MASS,Young,Association during nesting,Nest type,Nest building,Mating system,Incubation period,Incubation sex,Hatching,Fledging period,Age of independence,Feeding independence,Age of first breeding,Life span,Association outside the breeding season,Territoriality,Sedentary,Facultative migrant,Short distance migrant,Long distance migrant,Deciduous forest,Coniferous forest,Woodland,Shrub,Savanna,Tundra,Grassland,Mountain meadows,Reed,Swamps,Desert,Freshwater,Marine,Rocks,Human settlements,Folivore_Y,Frugivore_Y,Granivore_Y,Arthropods_Y,Other invertebrates_Y,Fish_Y,Other vertebrates_Y,Carrion_Y,Omnivore_Y,Folivore_B,Frugivore_B,Granivore_B,Arthropods_B,Other invertebrates_B,Fish_B,Other vertebrates_B,Carrion_B,Omnivore_B
passer montanus,13.2,8.2,5.5,6.5,16.4,67.9,16.7,51.2,24.6,51.0,21.39,0,0,6,2,1.0,2,1,3,14.0,69.95,71.3,68.6,51.75,52.5,51.0,13.2,13.3,13.1,17.95,18.0,17.9,22.8,22.8,22.8,0.0,1.0,8.0,5.0,2.5,18.9,14.0,2.11,0,1,4,1,0,13.0,1,3,18.0,30.0,28.5,1.0,13.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
phylloscopus bonelli,11.5,6.7,2.6,2.3,18.2,63.5,14.7,48.9,23.1,49.8,8.69,0,0,0,2,3.0,0,3,2,11.5,62.6,64.5,60.7,47.3,49.0,45.6,12.55,12.7,12.4,18.5,18.8,18.2,8.15,8.1,8.2,0.0,4.0,7.0,5.5,1.0,15.8,12.1,1.2,0,3,3,2,0,13.0,2,3,13.0,28.0,28.0,1.0,7.0,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
phylloscopus collybita,11.6,6.0,2.3,2.2,19.7,58.8,10.8,47.7,18.4,48.5,8.3,0,0,0,1,3.0,0,3,2,10.5,59.65,61.9,57.4,48.1,49.8,46.4,11.15,11.2,11.1,18.85,19.1,18.6,7.7,8.2,7.2,0.0,3.0,9.0,5.5,2.0,15.2,12.1,1.21,0,3,3,2,1,14.0,2,1,15.0,30.0,30.0,1.0,8.0,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
phylloscopus sibilatrix,13.2,6.7,2.8,2.8,18.0,75.8,23.3,52.3,30.9,50.7,9.2,0,0,0,1,3.0,0,3,2,12.0,75.2,77.1,73.3,49.4,50.8,48.0,12.9,12.8,13.0,17.95,17.8,18.1,9.95,9.8,10.1,0.0,2.0,10.0,6.0,1.0,16.2,12.6,1.46,0,3,3,2,0,13.0,2,3,12.0,28.0,28.0,1.0,10.0,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
phylloscopus trochilus,12.8,6.6,2.6,2.6,19.3,65.9,17.1,48.8,25.9,52.3,8.7,0,0,0,1,3.0,0,3,2,11.0,65.65,68.2,63.1,50.85,52.7,49.0,11.8,11.9,11.7,19.15,19.5,18.8,9.1,9.3,8.9,0.0,3.0,9.0,6.0,1.0,15.4,12.3,1.2,0,3,3,2,1,13.0,2,1,13.0,27.0,25.5,1.0,11.0,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
prunella modularis,14.0,7.8,3.7,3.6,20.4,69.1,14.7,54.5,21.2,59.6,20.24,0,0,0,2,1.0,2,3,3,14.5,69.8,70.9,68.7,57.3,58.0,56.6,14.6,14.7,14.5,21.0,21.1,20.9,21.25,21.4,21.1,0.0,3.0,7.0,5.0,2.0,19.5,14.6,2.21,0,3,5,2,2,13.0,2,3,12.0,28.0,28.0,1.0,21.0,4,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
regulus ignicapilla,10.9,6.0,2.0,2.1,16.5,52.3,11.5,40.7,22.0,39.4,5.6,0,0,0,1,3.0,0,3,2,9.0,52.35,53.5,51.2,39.75,40.2,39.3,11.0,11.2,10.8,16.8,16.9,16.7,5.15,5.0,5.3,0.0,7.0,12.0,8.8,2.0,13.6,10.6,0.69,0,3,1,2,0,15.0,2,1,23.0,40.0,37.5,1.0,0.0,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
regulus regulus,10.6,5.7,2.2,2.1,15.0,52.9,11.6,41.2,22.0,39.3,5.54,0,0,0,1,3.0,0,3,2,9.0,53.35,54.4,52.3,40.6,41.3,39.9,10.45,10.3,10.6,16.6,16.8,16.4,5.4,5.5,5.3,0.0,6.0,13.0,10.0,2.0,13.6,10.4,0.78,0,3,1,1,0,16.0,2,1,19.0,34.0,34.0,1.0,5.0,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
sitta europaea,20.9,13.6,4.8,4.6,20.2,85.4,20.3,65.0,23.8,46.8,20.37,0,0,0,1,1.0,0,3,2,14.0,84.05,85.1,83.0,43.2,43.7,42.7,20.2,20.3,20.1,19.9,20.0,19.8,23.05,23.3,22.8,0.0,5.0,12.0,7.0,1.0,19.4,14.6,2.16,0,3,4,2,0,15.0,2,3,24.0,33.0,33.0,1.0,13.0,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
sturnus vulgaris,30.2,18.5,6.6,6.5,29.0,128.3,49.2,79.1,38.4,65.8,77.14,0,0,2,3,2.0,2,4,2,21.5,130.0,131.6,128.4,62.95,64.1,61.8,28.85,29.3,28.4,30.1,30.5,29.7,80.55,82.7,78.4,1.0,4.0,7.0,5.0,1.5,29.7,21.2,7.0,0,1,4,3,1,12.0,2,1,21.0,29.0,29.0,2.0,23.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
